timestamp,rawX,rawY,normalizedX,velocity,simTargetX,simHandX,deltaMs
10015.80,297.0,384.1,0.8251,41.13,0.8247,0.8236,7.90
10024.00,297.3,384.1,0.8259,39.30,0.8256,0.8245,8.20
10032.40,297.7,384.0,0.8270,43.09,0.8265,0.8254,8.40
10040.80,298.1,384.0,0.8280,47.01,0.8276,0.8264,8.40
10049.00,298.4,384.0,0.8289,39.58,0.8285,0.8274,8.20
10057.60,298.8,383.9,0.8301,46.67,0.8296,0.8284,8.60
10066.30,299.2,383.9,0.8310,39.48,0.8306,0.8294,8.70
10075.70,299.6,383.9,0.8322,47.09,0.8318,0.8304,9.40
10082.80,300.1,383.9,0.8335,62.22,0.8330,0.8316,7.10
10091.40,300.5,383.8,0.8347,50.49,0.8342,0.8327,8.60
10098.70,300.9,383.8,0.8357,52.22,0.8353,0.8339,7.30
10107.60,301.2,383.8,0.8366,36.36,0.8362,0.8349,8.90
10115.70,301.7,383.8,0.8379,57.59,0.8374,0.8361,8.10
10123.80,302.1,383.7,0.8391,52.89,0.8386,0.8372,8.10
10132.20,302.5,383.7,0.8403,49.45,0.8398,0.8384,8.40
10140.20,302.9,383.7,0.8414,50.33,0.8409,0.8395,8.00
10148.60,303.3,383.7,0.8425,46.70,0.8420,0.8406,8.40
10157.00,303.7,383.7,0.8435,44.68,0.8431,0.8417,8.40
10165.60,304.0,383.7,0.8445,40.31,0.8441,0.8428,8.60
10173.50,304.3,383.7,0.8454,39.72,0.8450,0.8438,7.90
10181.70,304.6,383.7,0.8461,34.18,0.8458,0.8447,8.20
10190.90,304.9,383.8,0.8469,29.76,0.8466,0.8455,9.20
10198.60,305.1,383.8,0.8476,33.78,0.8473,0.8463,7.70
10207.20,305.4,383.9,0.8483,28.35,0.8480,0.8471,8.60
10215.20,305.7,383.9,0.8491,33.86,0.8487,0.8478,8.00
10223.70,305.9,384.0,0.8499,34.01,0.8495,0.8486,8.50
10232.70,306.2,384.1,0.8507,32.23,0.8503,0.8494,9.00
10240.10,306.5,384.1,0.8515,41.35,0.8512,0.8502,7.40
10248.10,306.9,384.2,0.8525,42.44,0.8521,0.8510,8.00
10256.70,307.2,384.2,0.8534,39.40,0.8530,0.8519,8.60
10265.00,307.6,384.3,0.8543,40.71,0.8539,0.8528,8.30
10272.90,307.9,384.3,0.8553,45.12,0.8549,0.8538,7.90
10281.60,308.3,384.4,0.8563,40.75,0.8559,0.8547,8.70
10289.50,308.6,384.5,0.8572,42.44,0.8568,0.8557,7.90
10297.90,308.9,384.5,0.8582,40.31,0.8578,0.8566,8.40
10305.90,309.2,384.6,0.8589,33.53,0.8586,0.8575,8.00
10314.80,309.6,384.6,0.8601,48.50,0.8597,0.8585,8.90
10322.70,310.0,384.6,0.8611,42.23,0.8606,0.8594,7.90
10331.30,310.3,384.7,0.8620,41.53,0.8616,0.8604,8.60
10339.70,310.6,384.7,0.8628,31.62,0.8624,0.8613,8.40
10347.60,310.9,384.7,0.8636,36.63,0.8632,0.8622,7.90
10356.10,311.3,384.8,0.8646,44.96,0.8642,0.8631,8.50
10364.30,311.6,384.8,0.8654,34.54,0.8651,0.8640,8.20
10373.00,311.9,384.8,0.8664,39.47,0.8660,0.8649,8.70
10381.50,312.2,384.8,0.8672,35.85,0.8669,0.8658,8.50
10389.30,312.6,384.9,0.8684,52.63,0.8679,0.8667,7.80
10397.50,313.0,384.9,0.8694,44.74,0.8690,0.8677,8.20
10405.90,313.4,385.0,0.8705,47.08,0.8700,0.8688,8.40
10414.40,313.7,385.0,0.8715,41.74,0.8710,0.8698,8.50
10423.10,314.1,385.1,0.8725,42.17,0.8721,0.8708,8.70
10430.80,314.5,385.2,0.8736,50.22,0.8731,0.8719,7.70
10439.00,314.9,385.2,0.8747,48.63,0.8742,0.8729,8.20
10447.80,315.3,385.4,0.8758,45.79,0.8753,0.8740,8.80
10455.60,315.7,385.4,0.8770,53.30,0.8765,0.8751,7.80
10464.30,316.2,385.5,0.8782,52.87,0.8777,0.8763,8.70
10472.10,316.7,385.6,0.8796,63.52,0.8790,0.8775,7.80
10480.60,317.2,385.6,0.8810,58.75,0.8804,0.8788,8.50
10489.10,317.6,385.7,0.8822,49.90,0.8816,0.8801,8.50
10497.10,318.0,385.8,0.8834,54.28,0.8829,0.8813,8.00
10506.40,318.4,385.8,0.8845,43.33,0.8840,0.8825,9.30
10513.80,318.8,385.8,0.8856,54.42,0.8851,0.8837,7.40
10522.00,319.1,385.9,0.8865,36.64,0.8861,0.8848,8.20
10530.30,319.5,385.8,0.8874,43.22,0.8870,0.8858,8.30
10538.90,319.8,385.8,0.8883,34.94,0.8879,0.8867,8.60
10546.70,320.1,385.8,0.8891,39.23,0.8888,0.8877,7.80
10555.20,320.4,385.8,0.8899,33.74,0.8896,0.8885,8.50
10563.10,320.7,385.8,0.8908,41.66,0.8905,0.8894,7.90
10571.80,321.0,385.9,0.8917,37.01,0.8914,0.8903,8.70
10579.90,321.3,385.9,0.8925,34.76,0.8922,0.8911,8.10
10588.30,321.6,385.9,0.8934,39.53,0.8931,0.8920,8.40
10596.50,321.8,386.0,0.8939,21.00,0.8937,0.8927,8.20
10605.00,322.2,385.9,0.8949,40.02,0.8945,0.8935,8.50
10613.10,322.5,385.9,0.8958,43.28,0.8954,0.8944,8.10
10621.60,322.9,386.0,0.8970,48.10,0.8965,0.8953,8.50
10629.70,323.3,386.0,0.8981,50.47,0.8976,0.8964,8.10
10639.00,323.8,386.0,0.8993,46.80,0.8988,0.8975,9.30
